,Item_Identifier,Item_Code,Item_Type,Item_Fat_Content,Item_Type_Cluster,Is_Misc_Item,Item_MRP,Item_Outlet_Sales,Log_Sales,Mean_LogSale_per_Item_Identifier,Mean_LogSale_per_Outlet_Identifier,Mean_LogSale_per_Item_Profile,Sales_to_MRP,Item_Profile,Outlet_Type,Outlet_Age,Item_Profile_Freq_Bin,Freq_Bin_Item_Cluster,Median_Log_Sales_ItemCluster_OutletType,Median_Log_Sales_per_Outlet,Median_Log_Sales_per_Item_Cluster,Median_Log_Sales_per_ItemProfile_OutletType,MRP_per_Year,Median_Log_Sales_Per_City_Tier,Median_MRP_ItemType_Per_Tier,MRP_Deviation_From_Tier_Median,Abs_MRP_Deviation,Median_Log_Sales_per_Item_OutletType,Median_Sales_per_Item_OutletType,Outlet_Identifier
0,156,1,4,0,3,0,249.8092,3735.138,8.225807736568045,8.308542932335696,7.531111528493944,7.368330699816161,14.95196333841989,7,1,26,0,1,7.609222379182855,7.584319360533787,7.494797222203446,7.6200566468552005,9.608046153846153,7.305455015205315,145.0128,104.7964,104.7964,7.571016267748703,1940.1412,9
1,8,0,14,1,0,0,48.2692,443.4228,6.096776361579924,7.091878631552416,7.316777715354307,7.229787706737833,9.18645430212226,2,2,16,0,2,7.433328616560531,7.41226797690749,7.383310345446207,7.302543484890929,3.016825,7.502907590270665,144.6773,-96.4081,96.4081,7.302543484890929,1488.063,3
2,662,1,10,0,3,0,141.618,2097.27,7.648868474670161,6.557863703807664,7.514959487516445,7.283695193338166,14.809346269542008,10,1,26,0,1,7.609222379182855,7.584319360533787,7.494797222203446,7.60872716652003,5.4468461538461534,7.305455015205315,140.318,1.299999999999983,1.299999999999983,7.60872716652003,2014.7108,9
3,1121,1,6,1,3,0,182.095,732.38,6.597663985017227,8.077178522825637,5.5331536015235265,7.327570953546424,4.021966555918615,9,0,27,0,0,5.542578758317674,5.526809787121378,7.494797222203446,5.518827497791328,6.744259259259259,7.502907590270665,132.8626,49.23240000000001,49.23240000000001,5.518827497791328,248.3434,0
4,1297,2,9,0,2,0,53.8614,994.7052,6.903451229836965,6.2632241697984785,7.454404589071041,7.335696684322737,18.46786752665174,15,1,38,0,1,7.661010252118305,7.626403080219326,7.5509371251305115,7.716940685013205,1.4174052631578948,7.502907590270665,153.7498,-99.88839999999999,99.88839999999999,7.716940685013205,2245.0776,1
5,758,1,0,1,4,0,51.4008,556.6088,6.3236576412443055,7.233474312648248,7.305528207619562,7.181712986424338,10.828796438965925,3,2,16,0,2,7.417477939024452,7.41226797690749,7.49294468503679,7.338873873524341,3.21255,7.502907590270665,119.744,-68.3432,68.3432,7.338873873524341,1538.3309,3
6,696,1,13,1,4,0,57.6588,343.5528,5.842247344312063,6.87140869968789,7.4773228928017215,7.374825138247131,5.958375824678972,12,1,38,0,1,7.583980893998901,7.626403080219326,7.49294468503679,7.644097476216769,1.517336842105263,7.502907590270665,147.5102,-89.8514,89.8514,7.644097476216769,2087.283,1
7,738,1,13,0,4,0,107.7622,4022.7636,8.299972962538963,7.224904064246218,8.039122097700634,7.353094745785227,37.330006254512284,12,3,40,0,3,8.122652592960296,8.121466470910779,7.49294468503679,8.167469346797978,2.694055,7.502907590270665,147.5102,-39.74799999999999,39.74799999999999,8.167469346797978,3523.4136,5
8,440,1,5,1,4,0,96.9726,1076.5986,6.9824903259119395,7.071984454198728,7.472976498600231,7.236175194377211,11.102090693659854,8,1,23,0,1,7.583980893998901,7.515314505368987,7.49294468503679,7.525417416584517,4.2162,7.60342826700307,141.5838,-44.6112,44.6112,7.525417416584517,1853.5872,7
9,990,1,5,1,4,0,187.8214,4710.535,8.457769036251289,6.986045697232621,7.506569377653555,7.241839213755741,25.07986310399134,8,1,18,0,1,7.583980893998901,7.603926109403291,7.49294468503679,7.525417416584517,10.434522222222222,7.60342826700307,141.5838,46.237600000000015,46.237600000000015,7.525417416584517,1853.5872,2
10,1171,1,6,0,3,0,45.5402,1516.0266,7.3245075138025815,6.372735263693026,7.514959487516445,7.3304244629379385,33.28985379950023,9,1,26,0,1,7.609222379182855,7.584319360533787,7.494797222203446,7.626406450193304,1.7515461538461539,7.305455015205315,148.2418,-102.70160000000001,102.70160000000001,7.626406450193304,2050.664,9
11,147,1,4,1,3,0,144.1102,2187.153,7.690813087970959,7.442122566657693,7.501098700914035,7.344685351703342,15.176947919023075,7,1,28,0,1,7.609222379182855,7.5739421692846935,7.494797222203446,7.6200566468552005,5.146792857142857,7.305455015205315,145.0128,-0.9026000000000067,0.9026000000000067,7.571016267748703,1940.1412,8
12,1142,1,6,1,3,0,145.4786,1589.2646,7.371655696463161,7.115905027216003,7.539597872515122,7.350174364288564,10.924387504416462,9,1,26,0,1,7.609222379182855,7.584319360533787,7.494797222203446,7.626406450193304,5.595330769230769,7.305455015205315,148.2418,-2.763200000000012,2.763200000000012,7.626406450193304,2050.664,9
13,904,1,13,1,4,0,119.6782,2145.2076,7.671457656629242,6.7767099291364845,7.501098700914035,7.353094745785227,17.92479833419955,12,1,28,0,1,7.583980893998901,7.5739421692846935,7.49294468503679,7.644097476216769,4.274221428571429,7.305455015205315,147.5247,-27.846499999999992,27.846499999999992,7.644097476216769,2087.283,8
14,375,1,6,0,3,0,196.4426,1977.426,7.590056858053727,7.548271959466164,7.4805229744783714,7.353084142897137,10.066177091934238,9,1,38,0,1,7.609222379182855,7.626403080219326,7.494797222203446,7.626406450193304,5.169542105263158,7.502907590270665,132.8626,63.58000000000001,63.58000000000001,7.626406450193304,2050.664,1
15,767,1,2,1,4,0,56.3614,1547.3192,7.344925234443442,6.185016567009377,7.513776265299001,7.148885644949608,27.453526704446656,5,1,28,0,1,7.583980893998901,7.5739421692846935,7.49294468503679,7.538288162813226,2.012907142857143,7.305455015205315,128.7994,-72.43799999999999,72.43799999999999,7.538288162813226,1877.8889,8
16,1280,2,8,0,2,0,115.3492,1621.8888,7.391963050071823,7.4081183645556825,7.316777715354307,7.216794472489468,14.060685293005935,14,2,16,0,2,7.396874044354185,7.41226797690749,7.5509371251305115,7.373620826123089,7.209325,7.502907590270665,125.9533,-10.604100000000003,10.604100000000003,7.373620826123089,1592.5936000000002,3
17,767,1,2,1,4,0,54.3614,718.3982,6.578415029173322,6.31202838286507,7.542041168091658,7.203879662665751,13.215226245093021,5,1,26,0,1,7.583980893998901,7.584319360533787,7.49294468503679,7.538288162813226,2.090823076923077,7.305455015205315,128.7994,-74.43799999999999,74.43799999999999,7.538288162813226,1877.8889,9
18,79,0,7,0,0,0,113.2834,2303.668,7.742691910349596,6.734894939447482,8.024200479454251,7.254211420034652,20.335441909405976,1,3,40,0,3,7.950921298879122,8.121466470910779,7.383310345446207,8.069918100888467,2.832085,7.502907590270665,154.4498,-41.16640000000001,41.16640000000001,8.069918100888467,3195.84,5
19,968,1,4,0,3,0,230.5352,2748.4224,7.919146132236254,8.267817517733086,7.573811673196162,7.357203046570015,11.921920817298183,7,1,21,0,1,7.609222379182855,7.654563787922667,7.494797222203446,7.6200566468552005,10.977866666666667,7.60342826700307,150.03789999999998,80.49730000000002,80.49730000000002,7.571016267748703,1940.1412,6
20,666,1,13,1,4,0,250.8724,3775.086,8.236443302429764,8.093383200186377,7.464363843279843,7.353094745785227,15.047833081678178,12,1,38,0,1,7.583980893998901,7.626403080219326,7.49294468503679,7.644097476216769,6.601905263157895,7.502907590270665,147.5102,103.3622,103.3622,7.644097476216769,2087.283,1
21,1076,1,0,1,4,0,144.5444,4064.0432,8.310179649231715,7.005332312296489,8.039122097700634,7.214484790494008,28.116227263041687,3,3,40,0,3,8.122652592960296,8.121466470910779,7.49294468503679,8.054386259708407,3.61361,7.502907590270665,119.744,24.800399999999996,24.800399999999996,8.054386259708407,3146.5708,5
22,1278,2,9,0,2,0,196.5084,1587.2672,7.37039888961736,7.464660442674938,7.577155594126957,7.342334633911306,8.077350382986173,15,1,21,0,1,7.661010252118305,7.654563787922667,7.5509371251305115,7.716940685013205,9.357542857142857,7.60342826700307,156.4656,40.0428,40.0428,7.716940685013205,2245.0776,6
23,259,1,0,0,4,0,107.6938,214.3876,5.372439195748607,7.873491864279056,5.562252196530046,7.194959824287667,1.9907144143859725,3,0,40,0,0,5.558089741325828,5.584702693357622,7.49294468503679,5.414805341753303,2.692345,7.305455015205315,107.2938,0.3999999999999915,0.3999999999999915,5.414805341753303,223.7088,4
